ID= 10610333 AllEvt= 78097.000000 AllEvtErr= 279.458254 SelEvt= 263.000000  SelEvtErr= 16.217261 AllEvtnoweight= 78097.000000 SelEvtnoweight= 263.000000 Eff(weight)= 0.003368 Eff(noweight)= 0.003368 Nfile= 414 
ID= 10610433 AllEvt= 177184.000000 AllEvtErr= 420.932284 SelEvt= 686.000000  SelEvtErr= 26.191579 AllEvtnoweight= 177184.000000 SelEvtnoweight= 686.000000 Eff(weight)= 0.003872 Eff(noweight)= 0.003872 Nfile= 414 
ID= 10630533 AllEvt= 61827.000000 AllEvtErr= 248.650293 SelEvt= 209.000000  SelEvtErr= 14.456819 AllEvtnoweight= 61827.000000 SelEvtnoweight= 209.000000 Eff(weight)= 0.003380 Eff(noweight)= 0.003380 Nfile= 413 
ID= 10710333 AllEvt= 147515.000000 AllEvtErr= 384.076791 SelEvt= 385.000000  SelEvtErr= 19.621398 AllEvtnoweight= 147515.000000 SelEvtnoweight= 385.000000 Eff(weight)= 0.002610 Eff(noweight)= 0.002610 Nfile= 414 
ID= 10710433 AllEvt= 332239.000000 AllEvtErr= 576.401839 SelEvt= 946.000000  SelEvtErr= 30.757095 AllEvtnoweight= 332239.000000 SelEvtnoweight= 946.000000 Eff(weight)= 0.002847 Eff(noweight)= 0.002847 Nfile= 414 
ID= 10730533 AllEvt= 117284.000000 AllEvtErr= 342.467481 SelEvt= 321.000000  SelEvtErr= 17.916453 AllEvtnoweight= 117284.000000 SelEvtnoweight= 321.000000 Eff(weight)= 0.002737 Eff(noweight)= 0.002737 Nfile= 413 
ID= 10910333 AllEvt= 110228.000000 AllEvtErr= 332.005997 SelEvt= 281.000000  SelEvtErr= 16.763041 AllEvtnoweight= 110228.000000 SelEvtnoweight= 281.000000 Eff(weight)= 0.002549 Eff(noweight)= 0.002549 Nfile= 414 
ID= 10910433 AllEvt= 248610.000000 AllEvtErr= 498.608047 SelEvt= 720.000000  SelEvtErr= 26.832793 AllEvtnoweight= 248610.000000 SelEvtnoweight= 720.000000 Eff(weight)= 0.002896 Eff(noweight)= 0.002896 Nfile= 414 
ID= 10930533 AllEvt= 87601.000000 AllEvtErr= 295.974509 SelEvt= 267.000000  SelEvtErr= 16.340120 AllEvtnoweight= 87601.000000 SelEvtnoweight= 267.000000 Eff(weight)= 0.003048 Eff(noweight)= 0.003048 Nfile= 414 
ID= 11510333 AllEvt= 16711.000000 AllEvtErr= 129.271012 SelEvt= 29.000000  SelEvtErr= 5.385162 AllEvtnoweight= 16711.000000 SelEvtnoweight= 29.000000 Eff(weight)= 0.001735 Eff(noweight)= 0.001735 Nfile= 413 
ID= 11510433 AllEvt= 36953.000000 AllEvtErr= 192.231612 SelEvt= 80.000000  SelEvtErr= 8.944270 AllEvtnoweight= 36953.000000 SelEvtnoweight= 80.000000 Eff(weight)= 0.002165 Eff(noweight)= 0.002165 Nfile= 412 
ID= 11530533 AllEvt= 13097.000000 AllEvtErr= 114.442101 SelEvt= 37.000000  SelEvtErr= 6.082762 AllEvtnoweight= 13097.000000 SelEvtnoweight= 37.000000 Eff(weight)= 0.002825 Eff(noweight)= 0.002825 Nfile= 413 
ID= 11610333 AllEvt= 16511.000000 AllEvtErr= 128.495120 SelEvt= 50.000000  SelEvtErr= 7.071065 AllEvtnoweight= 16511.000000 SelEvtnoweight= 50.000000 Eff(weight)= 0.003028 Eff(noweight)= 0.003028 Nfile= 412 
ID= 11610433 AllEvt= 37602.000000 AllEvtErr= 193.912368 SelEvt= 126.000000  SelEvtErr= 11.224967 AllEvtnoweight= 37602.000000 SelEvtnoweight= 126.000000 Eff(weight)= 0.003351 Eff(noweight)= 0.003351 Nfile= 413 
ID= 11630533 AllEvt= 13099.000000 AllEvtErr= 114.450840 SelEvt= 40.000000  SelEvtErr= 6.324554 AllEvtnoweight= 13099.000000 SelEvtnoweight= 40.000000 Eff(weight)= 0.003054 Eff(noweight)= 0.003054 Nfile= 411 
ID= 11710333 AllEvt= 5543.000000 AllEvtErr= 74.451329 SelEvt= 24.000000  SelEvtErr= 4.898979 AllEvtnoweight= 5543.000000 SelEvtnoweight= 24.000000 Eff(weight)= 0.004330 Eff(noweight)= 0.004330 Nfile= 411 
ID= 11710433 AllEvt= 12660.000000 AllEvtErr= 112.516643 SelEvt= 41.000000  SelEvtErr= 6.403123 AllEvtnoweight= 12660.000000 SelEvtnoweight= 41.000000 Eff(weight)= 0.003239 Eff(noweight)= 0.003239 Nfile= 413 
